Route,Title,Root,Page Class,Navigation,Reachability,Role Access,Mockup / Design Status,Canonical Template,RMB Action
/about,About,/help,Utility / Information,Navbar,Search + Navigation,Public,CANONICAL TEMPLATE REQUIRED,UtilityShell,Reconcile to canonical UtilityShell template; no independent dashboard-style redesign unless function requires it.
/admin/access-audit,Access Audit,/admin,Audit / Governance,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,AuditShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/account-routing,Account Routing,/admin,Settings / Configuration,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,SettingsShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/audit,Audit Trail,/admin,Audit / Governance,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,AuditShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/departments,Department Routing,/admin,Settings / Configuration,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,SettingsShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin,Admin Overview,/admin,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/release-readiness,Release Readiness,/admin,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/roles,Roles & Permissions,/admin,Operational Workspace,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,WorkspaceShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/security,Security Centre,/admin,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/settings,Routing Settings,/admin,Settings / Configuration,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,SettingsShell,Preserve approved mockup; reconcile only to RMB global shell.
